data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,fonte_wattagem,fonte_certificacao,fonte_modular,fonte_atx3
2026-05-16,fonte,902913,"Fonte Husky Sledger 550W, 80 Plus White, PFC ativo, Bivolt - HFN550PT",295.44,295.44,259.99,12,5,63,True,Husky,Hardware/Fontes/Fonte 550W,2 anos de garantia (3 meses de garantia legal + 21 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/902913/fonte-husky-sledger-550w-80-plus-white-pfc-ativo-bivolt-hfn550pt,550.0,,,False
2026-05-16,fonte,462816,"Fonte MSI MAG A850GL, 850W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto",905.87,905.87,769.99,15,5,2172,True,MSI,Hardware/Fontes/Fonte 850W,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/462816/fonte-msi-mag-a850gl-850w-80-plus-gold-modular-pfc-ativo-com-cabo-preto,850.0,Gold,,False
2026-05-16,fonte,912180,"Fonte MACH1 EMPOWER, 850W, Cybenetics Platinum, Modular, PFC Ativo, Preto - 850EMPOWER",699.99,699.99,629.99,10,5,18,True,MACH1,Hardware/Fontes/Fonte 850W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/912180/fonte-mach1-empower-850w-cybenetics-platinum-modular-pfc-ativo-preto-850empower,850.0,Platinum,,False
2026-05-16,fonte,912179,"Fonte MACH1 EMPOWER, 1000W, Cybenetics Platinum, Modular, PFC Ativo, Preto - 1000EMPOWER",888.88,888.88,799.99,10,5,16,True,MACH1,Hardware/Fontes/Fonte 1000W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/912179/fonte-mach1-empower-1000w-cybenetics-platinum-modular-pfc-ativo-preto-1000empower,1000.0,Platinum,,False
2026-05-16,fonte,173965,"Fonte Gamemax Gs600, 600W, 80plus White, PFC Ativo, Preta",255.44,255.44,229.9,10,5,43,True,Gamemax,Hardware/Fontes/Fonte 600W,Sem Garantia,False,https://www.kabum.com.br/produto/173965/fonte-gamemax-gs600-600w-80plus-white-pfc-ativo-preta,600.0,,,False
2026-05-16,fonte,923371,Fonte Cooler Master Atx 650w Mwe Gold V3 80 Plus Gold,451.0,451.0,405.9,10,5,4,True,Cooler Master,Hardware/Fontes/Fonte 650W,Sem Garantia,False,https://www.kabum.com.br/produto/923371/fonte-cooler-master-atx-650w-mwe-gold-v3-80-plus-gold,650.0,Gold,,False
2026-05-16,fonte,543414,"Fonte Corsair Cx750, 750W, 80 Plus Bronze, PFC Ativo, C/ Cabo De Força, ATX, Preto - Cp-9020279-Br",0.0,669.78,669.78,0,4,8,True,Corsair,Hardware/Fontes/Fonte 750W,Sem Garantia,False,https://www.kabum.com.br/produto/543414/fonte-corsair-cx750-750w-80-plus-bronze-pfc-ativo-c-cabo-de-forca-atx-preto-cp-9020279-br,750.0,Bronze,,False
2026-05-16,fonte,462815,"Fonte MSI MAG A750GL, 750W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto",872.93,872.93,741.99,15,5,358,True,MSI,Hardware/Fontes/Fonte 650W,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/462815/fonte-msi-mag-a750gl-750w-80-plus-gold-modular-pfc-ativo-com-cabo-preto,750.0,Gold,,False
2026-05-16,fonte,508060,"Fonte MSI MAG A850GL, 850W, 80 Plus Gold, Modular, PFC Ativo, Branco - MAG A850GL PCIE5 WHITE",0.0,1034.11,878.99,15,5,396,True,MSI,Hardware/Fontes/Fonte 850W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/508060/fonte-msi-mag-a850gl-850w-80-plus-gold-modular-pfc-ativo-branco-mag-a850gl-pcie5-white,850.0,Gold,,False
2026-05-16,fonte,937034,"Fonte MSI MPG A1000GS Silent PCIE5 II, 1000W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto - MPGA1000GSPCIE5IIS",1333.32,1333.32,1199.99,10,5,11,True,MSI,Hardware/Fontes/Fonte 1000W,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/937034/fonte-msi-mpg-a1000gs-silent-pcie5-ii-1000w-80-plus-gold-modular-pfc-ativo-com-cabo-preto-mpga1000gspcie5iis,1000.0,Gold,,False
2026-05-16,fonte,525053,"Fonte Gamer Rise Mode Zeus, 550w, 80 Plus Bronze, Modular, PFC Ativo, Preto - RM-PSU-01-BZ-550",399.99,399.99,339.99,15,5,129,True,Rise Mode,Hardware/Fontes/Fonte 550W,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/525053/fonte-gamer-rise-mode-zeus-550w-80-plus-bronze-modular-pfc-ativo-preto-rm-psu-01-bz-550,550.0,Bronze,,False
2026-05-16,fonte,938641,"Fonte Cooler Master Elite Gold, 1000W, 80 Plus Gold, Modular, PFC Ativo, Preta - MPW-A001-AFAG-BBR",777.77,777.77,699.99,10,5,5,True,Cooler Master,Hardware/Fontes/Fonte 1000W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/938641/fonte-cooler-master-elite-gold-1000w-80-plus-gold-modular-pfc-ativo-preta-mpw-a001-afag-bbr,1000.0,Gold,,False
2026-05-16,fonte,368437,"Fonte Gamemax GS600, 600W, 80 Plus White, PFC Ativo, Com Cabo, Preto - GS600",352.93,352.93,299.99,15,5,339,True,Gamemax,Hardware/Fontes/Fonte 600W,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/368437/fonte-gamemax-gs600-600w-80-plus-white-pfc-ativo-com-cabo-preto-gs600,600.0,,,False
2026-05-16,fonte,91076,"Fonte Fortrek PWS-2003, 200W, Sem Cabo, Prata - FK420P",63.52,63.52,53.99,15,5,94,True,Fortrek,Hardware/Fontes/Fonte 200W,6 meses de garantia (3 meses de garantia legal + 3 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/91076/fonte-fortrek-pws-2003-200w-sem-cabo-prata-fk420p,200.0,,,False
2026-05-16,fonte,907601,"Fonte Gigabyte UD850GM, 850W, 80 PLUS Gold, Modular, PFC Ativo, Preto - 28200-UD850G-1ARR",777.77,777.77,699.99,10,5,1,True,Gigabyte,Hardware/Fontes/Fonte 850W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/907601/fonte-gigabyte-ud850gm-850w-80-plus-gold-modular-pfc-ativo-preto-28200-ud850g-1arr,850.0,Gold,,False
2026-05-16,fonte,950573,"Fonte ASUS TUF Gaming EVO, 850W, 80 Plus Gold, Modular, PFC Ativo, Preto - 90YE00SA-B0BA00",999.99,999.99,899.99,10,0,0,True,ASUS,Hardware/Fontes/Fonte 850W,7 anos de garantia (3 meses de garantia legal + 81 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/950573/fonte-asus-tuf-gaming-evo-850w-80-plus-gold-modular-pfc-ativo-preto-90ye00sa-b0ba00,850.0,Gold,,False
2026-05-16,fonte,603224,"Fonte Husky Sledger 750W, 80 Plus Gold, Cybenetics Gold, PFC Ativo, Full Modular, Bivolt - HFN750PT",795.34,795.34,699.9,12,5,56,True,Husky,Hardware/Fontes/Fonte 750W,2 anos de garantia (3 meses de garantia legal + 21 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/603224/fonte-husky-sledger-750w-80-plus-gold-cybenetics-gold-pfc-ativo-full-modular-bivolt-hfn750pt,750.0,Gold,Full,False
2026-05-16,fonte,525054,"Fonte Gamer Rise Mode Zeus, 1000W, 80 Plus Platinum, Modular, PFC Ativo, Preto - RM-PSU-01-PA-1000",988.22,988.22,839.99,15,4,83,True,Rise Mode,Hardware/Fontes/Fonte 1000W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/525054/fonte-gamer-rise-mode-zeus-1000w-80-plus-platinum-modular-pfc-ativo-preto-rm-psu-01-pa-1000,1000.0,Platinum,,False
2026-05-16,fonte,603225,"Fonte Husky Sledger 850W, 80 Plus Gold, Cybenetics Gold, PFC Ativo, Full Modular, Bivolt - HFN850PT",863.52,863.52,759.9,12,5,116,True,Husky,Hardware/Fontes/Fonte 850W,2 anos de garantia (3 meses de garantia legal + 21 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/603225/fonte-husky-sledger-850w-80-plus-gold-cybenetics-gold-pfc-ativo-full-modular-bivolt-hfn850pt,850.0,Gold,Full,False
2026-05-16,fonte,377090,"Fonte Gamemax GP750, 750W, 80 Plus Bronze, PFC Ativo, Com Cabo, Preto - GP750",388.22,388.22,329.99,15,5,270,True,Gamemax,Hardware/Fontes/Fonte 750W,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/377090/fonte-gamemax-gp750-750w-80-plus-bronze-pfc-ativo-com-cabo-preto-gp750,750.0,Bronze,,False
2026-05-16,fonte,136023,"Fonte Fortrek Black Hawk, 500W, 80 Plus Bronze, PFC Ativo, Sem Cabo, Preto - 70459",258.81,258.81,219.99,15,5,63,True,Fortrek,Hardware/Fontes/Fonte 500W,6 meses de garantia (3 meses de garantia legal + 3 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/136023/fonte-fortrek-black-hawk-500w-80-plus-bronze-pfc-ativo-sem-cabo-preto-70459,500.0,Bronze,,False
2026-05-16,fonte,912178,"Fonte MACH1 EMPOWER, 1250W, Cybenetics Platinum, Modular, PFC Ativo, Preto - 1250EMPOWER",999.99,999.99,899.99,10,5,9,True,MACH1,Hardware/Fontes/Fonte 1250W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/912178/fonte-mach1-empower-1250w-cybenetics-platinum-modular-pfc-ativo-preto-1250empower,1250.0,Platinum,,False
2026-05-16,fonte,147006,"Fonte De Alimentação Fortrek Pws-2003, ATX, 200W, 20+4P, Sem Cabo, 115/230V - Fk420p",0.0,62.0,50.84,18,5,5,True,Fortrek,Hardware/Fontes/Fonte 200W,Sem Garantia,True,https://www.kabum.com.br/produto/147006/fonte-de-alimentacao-fortrek-pws2003-200w-atx-20-4p-sem-cabo-bivolt,200.0,,,False
2026-05-16,fonte,882418,"Fonte Gamer Aerocool VX-350 Stealth, 350W, ATX, Bivolt, Preto - 86367",152.82,152.82,129.9,15,5,2,True,Aerocool,Hardware/Fontes/Fonte 350W,6 meses de garantia (3 meses de garantia legal + 3 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/882418/fonte-gamer-aerocool-vx-350-stealth-350w-atx-bivolt-preto-86367,350.0,,,False
2026-05-16,fonte,691267,"Fonte Corsair RM850e RMe Series 2025, 850W, ATX 3.1, PCIe 5.1, Cybenetics GOLD Certified, Full Modular, Preto - CP-9020296-BR",909.08,909.08,799.99,12,4,20,True,Corsair,Hardware/Fontes/Fonte 850W,7 anos de garantia (3 meses de garantia legal + 81 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/691267/fonte-corsair-rm850e-rme-series-2025-850w-atx-3-1-pcie-5-1-cybenetics-gold-certified-full-modular-preto-cp-9020296-br,850.0,GOLD,Full,False
2026-05-16,fonte,938642,"Fonte Cooler Master Elite Gold, 1200W, 80 Plus Gold, Modular, PFC Ativo, Preta - MPW-C001-AFAG-BBR",1111.1,1111.1,999.99,10,5,1,True,Cooler Master,Hardware/Fontes/Fonte 1200W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/938642/fonte-cooler-master-elite-gold-1200w-80-plus-gold-modular-pfc-ativo-preta-mpw-c001-afag-bbr,1200.0,Gold,,False
2026-05-16,fonte,691266,"Fonte Corsair RM750e RMe Series 2025, 750W, ATX 3.1, PCIe 5.1, Cybenetics GOLD Certified, Full Modular, Preto - CP-9020295-BR",780.67,780.67,686.99,12,5,14,True,Corsair,Hardware/Fontes/Fonte 750W,7 anos de garantia (3 meses de garantia legal + 81 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/691266/fonte-corsair-rm750e-rme-series-2025-750w-atx-3-1-pcie-5-1-cybenetics-gold-certified-full-modular-preto-cp-9020295-br,750.0,GOLD,Full,False
2026-05-16,fonte,406654,"Fonte Msi 500w, 80 Plus White, Mag, Atx, Bivolt, Pfc Ativo",0.0,307.9,277.11,10,0,0,True,MSI,Hardware/Fontes/Fonte 500W,Sem Garantia,False,https://www.kabum.com.br/produto/406654/fonte-msi-500w-80-plus-white-mag-atx-bivolt-pfc-ativo,500.0,,,False
2026-05-16,fonte,136022,"Fonte Fortrek Black Hawk, 400W, 80 Plus White, Sem Cabo, Preto - 70458",223.41,223.41,189.9,15,5,26,True,Fortrek,Hardware/Fontes/Fonte 400W,6 meses de garantia (3 meses de garantia legal + 3 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/136022/fonte-fortrek-black-hawk-400w-80-plus-white-sem-cabo-preto-70458,400.0,,,False
2026-05-16,fonte,516057,"Fonte Corsair CX Series CX750, 750W, 80 Plus Bronze, Com Cabo, Preto - CP-9020279-BR",588.22,588.22,499.99,15,5,320,True,Corsair,Hardware/Fontes/Fonte 750W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/516057/fonte-corsair-cx-series-cx750-750w-80-plus-bronze-com-cabo-preto-cp-9020279-br,750.0,Bronze,,False
2026-05-16,fonte,907602,"Fonte Gigabyte UD850GM PG5 V2, 850W, 80 PLUS Gold, Modular, PFC Ativo, Preto - 28200-U85GB-1CBRR",999.99,999.99,699.99,30,5,2,True,Gigabyte,Hardware/Fontes/Fonte 850W,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/907602/fonte-gigabyte-ud850gm-pg5-v2-850w-80-plus-gold-modular-pfc-ativo-preto-28200-u85gb-1cbrr,850.0,Gold,,False
2026-05-16,fonte,723223,"Fonte Gamer Rise Mode Elektra, 650W, Bronze, PFC Ativo, Preto - RM-PSU-ELK-650-B",356.81,356.81,313.99,12,5,75,True,Rise Mode,Hardware/Fontes/Fonte 650W,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/723223/fonte-gamer-rise-mode-elektra-650w-bronze-pfc-ativo-preto-rm-psu-elk-650-b,650.0,Bronze,,False
2026-05-16,fonte,994076,"Fonte Gamer Redragon Charge, 650W, ATX, 80 Plus Bronze, Preto - FRC-650",433.32,433.32,389.99,10,5,2,True,Redragon,Hardware/Fontes/Fonte 650W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/994076/fonte-gamer-redragon-charge-650w-atx-80-plus-bronze-preto-frc-650,650.0,Bronze,,False
2026-05-16,fonte,426045,Fonte Brazilpc Atx 500w Brazilpc Bpc/5350-m 24 Pinos Box,77.67,77.67,69.9,10,5,2,True,BRAZILPC,Hardware/Fontes/Fonte 500W,Sem Garantia,False,https://www.kabum.com.br/produto/426045/fonte-brazilpc-atx-500w-brazilpc-bpc-5350-m-24-pinos-box,500.0,,,False
2026-05-16,fonte,434535,"Fonte Brazil PC Bpc-230, ATX 230W Real, 24 Pinos",44.33,44.33,39.9,10,2,3,True,BRAZILPC,Hardware/Fontes/Fonte 230W,Sem Garantia,False,https://www.kabum.com.br/produto/434535/fonte-brazil-pc-bpc-230-atx-230w-real-24-pinos,230.0,,,False
2026-05-16,fonte,508059,"Fonte MSI MPG A1000GS Silent PCIE5 II, 1000W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto - MPGA1000GSPCIE5IIS",1411.75,1411.75,1199.99,15,5,74,True,MSI,Hardware/Fontes/Fonte 1000W,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/508059/fonte-msi-mpg-a1000gs-silent-pcie5-ii-1000w-80-plus-gold-modular-pfc-ativo-com-cabo-preto-mpga1000gspcie5iis,1000.0,Gold,,False
2026-05-16,fonte,907603,"Fonte Gigabyte UD1000GM PG5 V2, 1000W, 80 PLUS Gold, Modular, PFC Ativo, Preto - 28200-U10GB-1CBRR",1111.1,1111.1,999.99,10,5,1,True,Gigabyte,Hardware/Fontes/Fonte 1000W,10 anos de garantia (3 meses de garantia legal + 117 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/907603/fonte-gigabyte-ud1000gm-pg5-v2-1000w-80-plus-gold-modular-pfc-ativo-preto-28200-u10gb-1cbrr,1000.0,Gold,,False
2026-05-16,fonte,902912,"Fonte Husky Sledger 1200W, 80 Plus Platinum, Cybenetics Platinum, PFC ativo, Bivolt - HFN1200PT",1249.89,1249.89,1099.9,12,5,6,True,Husky,Hardware/Fontes/Fonte 1200W,2 anos de garantia (3 meses de garantia legal + 21 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/902912/fonte-husky-sledger-1200w-80-plus-platinum-cybenetics-platinum-pfc-ativo-bivolt-hfn1200pt,1200.0,Platinum,,False
2026-05-16,fonte,496005,"Fonte Gamemax GX700, 700W, 80 Plus Gold, PFC Ativo, Com Cabo, Preto - GX700WBKPSS7710BR",522.21,522.21,469.99,10,5,14,True,Gamemax,Hardware/Fontes/Fonte 700W,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/496005/fonte-gamemax-gx700-700w-80-plus-gold-pfc-ativo-com-cabo-preto-gx700wbkpss7710br,700.0,Gold,,False
2026-05-16,fonte,115818,"Fonte Gamemax GP650, 650W, 80 Plus Bronze, PFC Ativo, Com Cabo, Preto - GP650",405.87,405.87,344.99,15,5,137,True,Gamemax,Hardware/Fontes/Fonte 650W,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/115818/fonte-gamemax-gp650-650w-80-plus-bronze-pfc-ativo-com-cabo-preto-gp650,650.0,Bronze,,False
2026-05-16,fonte,509834,Fonte De Alimentação Vxpro Vx230se,0.0,55.0,45.1,18,1,1,True,Vxpro,Hardware/Fontes/Fonte 230W,Sem Garantia,True,https://www.kabum.com.br/produto/509834/fonte-de-alimentacao-vxpro-vx230se,,,,False
2026-05-16,fonte,884406,Fonte Corsair Cx550w 80 Plus Bronze Atx Preta,0.0,409.0,347.65,15,5,1,True,Corsair,Hardware/Fontes/Fonte 550W,Sem Garantia,False,https://www.kabum.com.br/produto/884406/fonte-corsair-cx550w-80-plus-bronze-atx-preta,550.0,Bronze,,False
2026-05-16,fonte,884407,Fonte Corsair Rm1000e 1000w 80 Plus Gold Modular Pfc Ativo PCie 5.1 Preta,0.0,1149.0,1057.08,8,0,0,True,Corsair,Hardware/Fontes/Fonte 1000W,Sem Garantia,False,https://www.kabum.com.br/produto/884407/fonte-corsair-rm1000e-1000w-80-plus-gold-modular-pfc-ativo-pcie-5-1-preta,1000.0,Gold,,False
2026-05-16,fonte,1002528,"Fonte Gamer Kalkan, 850W, 80 Plus Bronze, PFC Ativo, Preto - MP-0950W-B",444.43,444.43,399.99,10,0,0,True,KALKAN,Hardware/Fontes/Fonte 850W,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/1002528/fonte-gamer-kalkan-850w-80-plus-bronze-pfc-ativo-preto-mp-0950w-b,850.0,Bronze,,False
2026-05-16,fonte,159161,"Fonte Knup ATX, 500W Real, 24P, Com Cabo, Bivolt - KP-522",0.0,111.75,94.99,15,4,6,True,Knup,Hardware/Fontes/Fonte 500W,Sem Garantia,False,https://www.kabum.com.br/produto/159161/fonte-knup-atx-500w-real-24p-com-cabo-bivolt-kp-522,500.0,,,False
2026-05-16,fonte,1002988,"Fonte Thermaltake Toughpower GT, 1200W, 80 Plus Gold, Full Modular, PFC Ativo, Snow White - PS-TPT-1200FNFAGB-W",1555.54,1555.54,1399.99,10,5,1,True,Thermaltake,Hardware/Fontes/Fonte 1200W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/1002988/fonte-thermaltake-toughpower-gt-1200w-80-plus-gold-full-modular-pfc-ativo-snow-white-ps-tpt-1200fnfagb-w,1200.0,Gold,Full,False
2026-05-16,fonte,907599,"Fonte Gigabyte UD850GM PG5W, 850W, 80 PLUS Gold, Modular, PFC Ativo, Branca - 28200-U85GW-1USR",966.66,966.66,869.99,10,0,0,True,Gigabyte,Hardware/Fontes/Fonte 850W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/907599/fonte-gigabyte-ud850gm-pg5w-850w-80-plus-gold-modular-pfc-ativo-branca-28200-u85gw-1usr,850.0,Gold,,False
2026-05-16,fonte,906703,"Fonte 1000w 80 Plus Gold Corsair Rm1000e , Atx 3.1, Full-modular, Black - Cp-9020297-br",0.0,1363.88,1227.49,10,0,0,True,Corsair,Hardware/Fontes/Fonte 1000W,Sem Garantia,False,https://www.kabum.com.br/produto/906703/fonte-1000w-80-plus-gold-corsair-rm1000e-atx-3-1-full-modular-black-cp-9020297-br,1000.0,Gold,Full,False
2026-05-16,fonte,997011,Fonte Lian Li RB750B Preto 750W ATX 80 PLUS Bronze Fan 135mm com Organizadores Integrados,666.66,666.66,599.99,10,0,0,True,Lian Li,Hardware/Fontes/Fonte 750W,1 ano de garantia (3 meses de garantia legal + 9 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/997011/fonte-lian-li-rb750b-preto-750w-atx-80-plus-bronze-fan-135mm-com-organizadores-integrados,750.0,Bronze,,False
2026-05-16,fonte,508671,"Fonte Gamer C3tech, 700W, 80 Plus Bronze, Pfc Ativo, ATX - Ps-G700b",0.0,343.09,315.64,8,5,3,True,C3Techtech,Hardware/Fontes/Fonte 700W,Sem Garantia,False,https://www.kabum.com.br/produto/508671/fonte-gamer-c3tech-700w-80-plus-bronze-pfc-ativo-atx-ps-g700b,700.0,Bronze,,False
